identity,chain_id,token,tx_hash,log_index,block_number,transaction_index,block_timestamp_utc,from,to,direction,amount_raw,amount_ake,receipt_status,receipt_success,receipt_log_verified,removed,transaction_from,transaction_to,transaction_target_explorer_label,counterparty,counterparty_role_name,counterparty_role_class,counterparty_role_source,counterparty_code_state_latest,classification,quote_recovery,fifo_consumed_lots,runtime_effect,alert_policy
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x5161bdef7c64bd72607d6957fdf44b778c8488efe55d9690da8fa49dafc572c9:398,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x5161bdef7c64bd72607d6957fdf44b778c8488efe55d9690da8fa49dafc572c9,398,108589242,96,2026-07-07T11:38:10+00:00,0x6449b24d8dad7cef8ece12d7d5c8d0e0ef355a48,0x85401508c777321eed3018390408ad0ab2e087e5,inbound,100000000000000000000000,100000,1,True,True,False,0x6449b24d8dad7cef8ece12d7d5c8d0e0ef355a48,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,,0x6449b24d8dad7cef8ece12d7d5c8d0e0ef355a48,,unlabeled_address,tracked_global_labels_no_match,,anchor_coordination_inbound,[],[],none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x0f6bfe523ae87b02f4c1c1b5e1f862f3ab2e98bc95d8777e651fef5179ba62a9:372,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x0f6bfe523ae87b02f4c1c1b5e1f862f3ab2e98bc95d8777e651fef5179ba62a9,372,108589416,80,2026-07-07T11:39:29+00:00,0x6449b24d8dad7cef8ece12d7d5c8d0e0ef355a48,0x85401508c777321eed3018390408ad0ab2e087e5,inbound,2083900000000000000000000000,2083900000,1,True,True,False,0x6449b24d8dad7cef8ece12d7d5c8d0e0ef355a48,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,,0x6449b24d8dad7cef8ece12d7d5c8d0e0ef355a48,,unlabeled_address,tracked_global_labels_no_match,,anchor_coordination_inbound,[],[],none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xf5c8332a3ec0e7d0db05df8b8c238987530b5cc4841d3163a596174c00e41908:187,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xf5c8332a3ec0e7d0db05df8b8c238987530b5cc4841d3163a596174c00e41908,187,108589512,53,2026-07-07T11:40:12+00:00,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x85401508c777321eed3018390408ad0ab2e087e5,inbound,1250531833687891267835287201,1250531833.687891267835287201,1,True,True,False,0xd49ef7def42f4633cd55cb874e016a570ea99f04,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,,0xd49ef7def42f4633cd55cb874e016a570ea99f04,,unlabeled_address,tracked_global_labels_no_match,,anchor_coordination_inbound,[],[],none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xd324868a4733c61fdbc7b0fa1b9b193f37d9e43c003802aea03a9e2b5faa155a:632,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xd324868a4733c61fdbc7b0fa1b9b193f37d9e43c003802aea03a9e2b5faa155a,632,108590877,70,2026-07-07T11:50:33+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,3420000000000000000000000,3420000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":650,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":29840656100938402,""amount"":""0.029840656100938402""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":653,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5445460401442625336132,""amount"":""5445.460401442625336132""}]","[{""lot_id"":""ake_common_receiver_6449_test_100k"",""amount_raw"":100000000000000000000000,""amount_ake"":""100000""},{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":3320000000000000000000000,""amount_ake"":""3320000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xd324868a4733c61fdbc7b0fa1b9b193f37d9e43c003802aea03a9e2b5faa155a:636,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xd324868a4733c61fdbc7b0fa1b9b193f37d9e43c003802aea03a9e2b5faa155a,636,108590877,70,2026-07-07T11:50:33+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,outbound,2580000000000000000000000,2580000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":650,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":29840656100938402,""amount"":""0.029840656100938402""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":653,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5445460401442625336132,""amount"":""5445.460401442625336132""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":2580000000000000000000000,""amount_ake"":""2580000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xd324868a4733c61fdbc7b0fa1b9b193f37d9e43c003802aea03a9e2b5faa155a:640,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xd324868a4733c61fdbc7b0fa1b9b193f37d9e43c003802aea03a9e2b5faa155a,640,108590877,70,2026-07-07T11:50:33+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,24000000000000000000000000,24000000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":650,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":29840656100938402,""amount"":""0.029840656100938402""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":653,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5445460401442625336132,""amount"":""5445.460401442625336132""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":24000000000000000000000000,""amount_ake"":""24000000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xf00f29e3241d74ec75e4958745c50646635e05bb70f39275ae739ec5bea96ac9:2,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xf00f29e3241d74ec75e4958745c50646635e05bb70f39275ae739ec5bea96ac9,2,108590928,1,2026-07-07T11:50:55+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,3420000000000000000000000,3420000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":47,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5484253823666448243627,""amount"":""5484.253823666448243627""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":3420000000000000000000000,""amount_ake"":""3420000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xf00f29e3241d74ec75e4958745c50646635e05bb70f39275ae739ec5bea96ac9:6,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xf00f29e3241d74ec75e4958745c50646635e05bb70f39275ae739ec5bea96ac9,6,108590928,1,2026-07-07T11:50:55+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,outbound,2580000000000000000000000,2580000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0xdd3d3c05a672b8a1112e158cd2fc6f577c2b6e1f,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":47,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5484253823666448243627,""amount"":""5484.253823666448243627""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":2580000000000000000000000,""amount_ake"":""2580000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0xf00f29e3241d74ec75e4958745c50646635e05bb70f39275ae739ec5bea96ac9:10,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0xf00f29e3241d74ec75e4958745c50646635e05bb70f39275ae739ec5bea96ac9,10,108590928,1,2026-07-07T11:50:55+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,24000000000000000000000000,24000000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":47,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5484253823666448243627,""amount"":""5484.253823666448243627""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":24000000000000000000000000,""amount_ake"":""24000000""}]",none,report_only
56:0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db:0x38dc5c7bd0b61a329496e5037a5f0c4e3f42ba99b863efbdbb74bf648cad2238:2,56,0x2c3a8ee94ddd97244a93bc48298f97d2c412f7db,0x38dc5c7bd0b61a329496e5037a5f0c4e3f42ba99b863efbdbb74bf648cad2238,2,108590961,1,2026-07-07T11:51:10+00:00,0x85401508c777321eed3018390408ad0ab2e087e5,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,outbound,3420000000000000000000000,3420000,1,True,True,False,0x85401508c777321eed3018390408ad0ab2e087e5,0x62ccef0b4545166f721caa9fee13c1d3767e27dc,OKX: DEX Router 2,0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,,unlabeled_address,tracked_global_labels_no_match,code_present,dex_sell_with_same_receipt_quote_recovery,"[{""token"":""0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c"",""name"":""WBNB"",""log_index"":20,""from"":""0x33d285926c0d6b35bdf61d04cc77de60ce0bd5db"",""amount_raw"":50985491665413222,""amount"":""0.050985491665413222""},{""token"":""0x55d398326f99059ff775485246999027b3197955"",""name"":""BSC USDT"",""log_index"":23,""from"":""0x62ccef0b4545166f721caa9fee13c1d3767e27dc"",""amount_raw"":5447508020816875889385,""amount"":""5447.508020816875889385""}]","[{""lot_id"":""ake_common_receiver_6449_2083_9m"",""amount_raw"":3420000000000000000000000,""amount_ake"":""3420000""}]",none,report_only
