identity,token,symbol,decimals,tx_hash,log_index,block_number,transaction_index,timestamp_utc,from,to,direction,amount_raw,amount_usdt,counterparty,counterparty_label,counterparty_class,label_source,label_confidence,counterparty_historical_code_state,transaction_from,transaction_to,transaction_to_class,method_selector,nonce,receipt_success,same_receipt_transfer_count,same_receipt_all_transfer_sha256,same_receipt_target_related_transfers,same_receipt_quote_net,explicit_swap_guard_passed,closure_kind,closure_confidence,path_classification,is_anchor,is_dust_under_fixed_threshold,fifo_allocations,proceeds_lot_consumed_raw
56:0x55d398326f99059ff775485246999027b3197955:0xafa2633a3a227d0e55d91bbfaea5e330fe53cbc695a079198b07df38bd35f9e8:137,0x55d398326f99059ff775485246999027b3197955,USDT,18,0xafa2633a3a227d0e55d91bbfaea5e330fe53cbc695a079198b07df38bd35f9e8,137,109155153,61,2026-07-10T10:24:27+00:00,0xb8210c25df20921538ea35729badc3e0a63520f1,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,62835506013000000000000,62835.506013,0xb8210c25df20921538ea35729badc3e0a63520f1,,unlabeled_eoa,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,empty,0xb8210c25df20921538ea35729badc3e0a63520f1,0x55d398326f99059ff775485246999027b3197955,quote_token,0xa9059cbb,2,True,1,4625f0951d6d3ea879ae9209a28bc57d726f9b39be7623a366ebbb67ba8e3522,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xb8210c25df20921538ea35729badc3e0a63520f1"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":62835506013000000000000,""tx_hash"":""0xafa2633a3a227d0e55d91bbfaea5e330fe53cbc695a079198b07df38bd35f9e8"",""log_index"":137,""block_number"":109155153,""transaction_index"":61,""removed"":false}]",[],False,,,inbound_unlabeled_eoa,True,False,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x3caac8ad8cfc2814135827d681dd30adc38a142a58cbe2973bf4ac77b970438a:191,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x3caac8ad8cfc2814135827d681dd30adc38a142a58cbe2973bf4ac77b970438a,191,109155215,45,2026-07-10T10:24:55+00:00,0xf6abec181af89270c1d704b153471f875e202c8a,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,1000000000000,0.000001,0xf6abec181af89270c1d704b153471f875e202c8a,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x6d270a38fb8e73d09d547268f4e76b68e2de35d6,0x6d270a38fb8e73d09d547268f4e76b68e2de35d6,,0xa9059cbb,688306,True,74,0c7ccd2e5cbb8131eb9755b872d3acedfa9e92499abfa2129cce764cf1691fed,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xf6abec181af89270c1d704b153471f875e202c8a"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":1000000000000,""tx_hash"":""0x3caac8ad8cfc2814135827d681dd30adc38a142a58cbe2973bf4ac77b970438a"",""log_index"":191,""block_number"":109155215,""transaction_index"":45,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x73ff505ba369546c3fafca5ab73ec81fec958f42bbc397da2252ef6feae4cba3:291,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x73ff505ba369546c3fafca5ab73ec81fec958f42bbc397da2252ef6feae4cba3,291,109155226,67,2026-07-10T10:25:00+00:00,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,24900000000000,0.0000249,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x00000db1b4cc11c5dbe854558dffe4a1fa600000,0x00000ee7b7e819650c9e6341ddee596c16a00000,,0xa9059cbb,246451,True,62,dd6b4cb4f8401a380046829289d6ab02a1dc27e62ff8943359a05334f008f4be,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xffd67b79d1b112c1e9b62fc31601687c670b2c8a"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":24900000000000,""tx_hash"":""0x73ff505ba369546c3fafca5ab73ec81fec958f42bbc397da2252ef6feae4cba3"",""log_index"":291,""block_number"":109155226,""transaction_index"":67,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x66a275d4bfb66063f51608f395e3accedf88a89e3cbe07101a4deb82c91588c7:335,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x66a275d4bfb66063f51608f395e3accedf88a89e3cbe07101a4deb82c91588c7,335,109155432,51,2026-07-10T10:26:32+00:00,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,24900000000000,0.0000249,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x00000079953a9244479c02c9bc19bfe856000000,0x00000f621af52ca70c0794e0b75026c445500000,,0xa9059cbb,247186,True,245,c179e2ce9150a721909c0f5a10ec0e31b9de5dc5d9a0ab8ddda70f725d99447b,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xffd67b79d1b112c1e9b62fc31601687c670b2c8a"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":24900000000000,""tx_hash"":""0x66a275d4bfb66063f51608f395e3accedf88a89e3cbe07101a4deb82c91588c7"",""log_index"":335,""block_number"":109155432,""transaction_index"":51,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x1b50a354355adfdf1d3838229b6eb3ab2dc11883f844cca55caba03fac95e789:140,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x1b50a354355adfdf1d3838229b6eb3ab2dc11883f844cca55caba03fac95e789,140,109156114,52,2026-07-10T10:31:39+00:00,0x2cc4e7cf11026bfe7c666be55c4f7aace99ce458,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,190512001071000000000000,190512.001071,0x2cc4e7cf11026bfe7c666be55c4f7aace99ce458,,unlabeled_eoa,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,empty,0x2cc4e7cf11026bfe7c666be55c4f7aace99ce458,0x55d398326f99059ff775485246999027b3197955,quote_token,0xa9059cbb,5,True,1,d858ebeed3446625a01f39df096cf8d34755b9b98075d4575fdd48dc8860068a,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0x2cc4e7cf11026bfe7c666be55c4f7aace99ce458"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":190512001071000000000000,""tx_hash"":""0x1b50a354355adfdf1d3838229b6eb3ab2dc11883f844cca55caba03fac95e789"",""log_index"":140,""block_number"":109156114,""transaction_index"":52,""removed"":false}]",[],False,,,inbound_unlabeled_eoa,False,False,[],0
56:0x55d398326f99059ff775485246999027b3197955:0xa772ffae6c33c7cb996f0925bda8ce248804183162ad1fd7a2a22d2b433650a6:727,0x55d398326f99059ff775485246999027b3197955,USDT,18,0xa772ffae6c33c7cb996f0925bda8ce248804183162ad1fd7a2a22d2b433650a6,727,109156268,76,2026-07-10T10:32:48+00:00,0xf6abec181af89270c1d704b153471f875e202c8a,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,1000000000000,0.000001,0xf6abec181af89270c1d704b153471f875e202c8a,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x6d270a38fb8e73d09d547268f4e76b68e2de35d6,0x6d270a38fb8e73d09d547268f4e76b68e2de35d6,,0xa9059cbb,688344,True,100,cb53df105defdc113d5c2abb5a1c2da400add1612e049b6d375c741aac3a9923,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xf6abec181af89270c1d704b153471f875e202c8a"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":1000000000000,""tx_hash"":""0xa772ffae6c33c7cb996f0925bda8ce248804183162ad1fd7a2a22d2b433650a6"",""log_index"":727,""block_number"":109156268,""transaction_index"":76,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x20ea130bd570bcee21af9fe06d911ca4927b6cb3bea45cba539de7640a72997c:289,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x20ea130bd570bcee21af9fe06d911ca4927b6cb3bea45cba539de7640a72997c,289,109156282,51,2026-07-10T10:32:55+00:00,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,24900000000000,0.0000249,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x00000db1b4cc11c5dbe854558dffe4a1fa600000,0x00000ee7b7e819650c9e6341ddee596c16a00000,,0xa9059cbb,246485,True,140,63695a8b4083d4ddf694eb7f94fbf6b0fab1d2fb5d974d44a8b9c2d1d8fe0e8d,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xffd67b79d1b112c1e9b62fc31601687c670b2c8a"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":24900000000000,""tx_hash"":""0x20ea130bd570bcee21af9fe06d911ca4927b6cb3bea45cba539de7640a72997c"",""log_index"":289,""block_number"":109156282,""transaction_index"":51,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x3d43306b8c73a39de9d4341cd4c92e15bb567135f887df26f709bbc77adf6791:502,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x3d43306b8c73a39de9d4341cd4c92e15bb567135f887df26f709bbc77adf6791,502,109156306,186,2026-07-10T10:33:06+00:00,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,24900000000000,0.0000249,0xffd67b79d1b112c1e9b62fc31601687c670b2c8a,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x00000079953a9244479c02c9bc19bfe856000000,0x00000f621af52ca70c0794e0b75026c445500000,,0xa9059cbb,247208,True,61,0c8ef299f2139e40e9177db8d9a6a151f241e565f10d5fba933e48ab233642df,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0xffd67b79d1b112c1e9b62fc31601687c670b2c8a"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":24900000000000,""tx_hash"":""0x3d43306b8c73a39de9d4341cd4c92e15bb567135f887df26f709bbc77adf6791"",""log_index"":502,""block_number"":109156306,""transaction_index"":186,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
56:0x55d398326f99059ff775485246999027b3197955:0x7085c3737c7045e9692a2d41c936ce4744b05b603b9859f56a922f8bbc85c89b:256,0x55d398326f99059ff775485246999027b3197955,USDT,18,0x7085c3737c7045e9692a2d41c936ce4744b05b603b9859f56a922f8bbc85c89b,256,109161396,68,2026-07-10T11:11:16+00:00,0x1cf865b7851b79bb366b2b528edaa1b6a974e401,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,3165000000000000000000,3165,0x1cf865b7851b79bb366b2b528edaa1b6a974e401,,unlabeled_eoa,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,empty,0x1cf865b7851b79bb366b2b528edaa1b6a974e401,0x55d398326f99059ff775485246999027b3197955,quote_token,0xa9059cbb,9,True,1,bf3cf3000d5248674f12ecef025d1ffbb69b9e2310a77ec316b60d0f34082524,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0x1cf865b7851b79bb366b2b528edaa1b6a974e401"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":3165000000000000000000,""tx_hash"":""0x7085c3737c7045e9692a2d41c936ce4744b05b603b9859f56a922f8bbc85c89b"",""log_index"":256,""block_number"":109161396,""transaction_index"":68,""removed"":false}]",[],False,,,inbound_unlabeled_eoa,False,False,[],0
56:0x55d398326f99059ff775485246999027b3197955:0xb52e5afcd3446950d55dc2041f4812036c6039e2f3724eee60938873cf1ffeeb:251,0x55d398326f99059ff775485246999027b3197955,USDT,18,0xb52e5afcd3446950d55dc2041f4812036c6039e2f3724eee60938873cf1ffeeb,251,109161406,59,2026-07-10T11:11:21+00:00,0x1cf8320c6511a307aa68c0bb7402e5e62df1e401,0x25370535a60d5e1761639009a837e5d0fe0a28df,inbound,33970000000000,0.00003397,0x1cf8320c6511a307aa68c0bb7402e5e62df1e401,,unlabeled_contract,onchain_code_state_and_absent_reviewed_label,high_for_code_state_only,code_present,0x00000db1b4cc11c5dbe854558dffe4a1fa600000,0x00000ee7b7e819650c9e6341ddee596c16a00000,,0xa9059cbb,246699,True,92,7862aeb70a19ae04fdc4d8909fea66d039b7695c3698157225d5a57cb7460d44,"[{""token"":""0x55d398326f99059ff775485246999027b3197955"",""from"":""0x1cf8320c6511a307aa68c0bb7402e5e62df1e401"",""to"":""0x25370535a60d5e1761639009a837e5d0fe0a28df"",""amount_raw"":33970000000000,""tx_hash"":""0xb52e5afcd3446950d55dc2041f4812036c6039e2f3724eee60938873cf1ffeeb"",""log_index"":251,""block_number"":109161406,""transaction_index"":59,""removed"":false}]",[],False,,,inbound_unlabeled_contract,False,True,[],0
